YBL023C YPR019W
YHL009C YMR314W
YHL009C YDR132C
YFL039C YNL189W
YFL039C YDR510W
YFL039C YGL015C
YFL039C YMR092C
YFL039C YNL138W
YFL039C YOR304C-A
YNL333W YFL059W
YNL333W YFL060C
YNL333W YMR096W
YNL333W YNL334C
YOR111W YFR008W
YOR111W YMR021C
YOR111W YJR039W
YOR042W YGR268C
YOR042W YFR024C-A
YML099C YJL090C
YML099C YGR099W
YML099C YGR122W
YML099C YMR104C
YGR144W YNL189W
YGR144W YIL051C
YNL314W YIL153W
YNL314W YGR203W
YNL314W YOR304C-A
YLR258W YIL153W
YLR258W YPL031C
YLR258W YJL137C
YGL175C YJR058C
YGL175C YLR442C
YLR377C YNL189W
YLR377C YJL103C
YJR010W YNL189W
YLR321C YNR046W
YFL010C YMR276W
YFL010C YML051W
YMR004W YML051W
YPR105C YOL034W
YDL195W YLR208W
YKL068W YGR099W
YKL068W YFR024C-A
YPR181C YNL049C
YPR181C YHR098C
YAL024C YHR158C
YHR158C YGR238C
YHR158C YLR452C
YAL027W YPL022W
YPL022W YML095C
YPL022W YLR135W
YML095C YGR063C
YGR158C YBL026W
YDR473C YPL004C
YDR473C YPR178W
YIL153W YDR259C
YIL153W YNL021W
YMR314W YPR135W
YMR314W YNL199C
YMR314W YJR074W
YOL034W YDR510W
YOL034W YLR098C
YOL034W YOL082W
YOL034W YDL105W
YOL034W YER047C
YAL036C YOR174W
YAL036C YDR152W
YDL239C YLR098C
YDL239C YOR304C-A
YDR138W YKL171W
YDR357C YGL079W
YGR119C YGL172W
YGR261C YNL199C
YHR114W YNL094W
YHR167W YNL041C
YHR167W YDL005C
YHR167W YJL011C
YHR167W YML062C
YIL079C YGL122C
YIL092W YGL122C
YIL144W YOR174W
YIL144W YOL069W
YJL025W YGR233C
YJL025W YBL014C
YJL061W YJL041W
YLL049W YMR294W
YLR089C YPR049C
YLR132C YLL036C
YLR132C YNL286W
YLR424W YJL110C
YLR424W YGL090W
YLR424W YGR029W
YLR424W YGR142W
YLR424W YLR385C
YLR424W YKR022C
YML043C YNL199C
YOR117W YGR211W
YOR117W YIL007C
YOR117W YJL184W
YPL077C YGR241C
YPL077C YDR489W
YPL077C YDR388W
YPL077C YHR161C
YGR195W YOL021C
YFR008W YMR029C
YFR008W YMR052W
YDR045C YIL122W
YDR171W YDR510W
YER018C YMR117C
YGR142W YMR021C
YGR142W YCR073C
YGR142W YJR127C
YGR142W YBL091C
YHR022C YDR361C
YHR022C YOR032C
YJL011C YKL015W
YJL011C YGL096W
YPL135W YDR100W
YPL135W YDR229W
YPL135W YOL082W
YNR046W YDR140W
YPL004C YKR066C
YPL004C YDL031W
YPL004C YER126C
YPL004C YGR027C
YPL004C YGR086C
YPL004C YIL018W
YPL004C YIL069C
YPL004C YJL083W
YPL004C YKL142W
YPL004C YLR219W
YPL004C YLR333C
YPL004C YPL164C
YDR259C YKL071W
YNL021W YDR510W
YNL021W YJL110C
YAL046C YDR098C
YAL046C YER174C
YDR063W YBR234C
YDR063W YDR124W
YFL017W-A YOR159C
YMR308C YOR185C
YMR308C YLR293C
YOL145C YGR233C
YPR135W YDR013W
YPR135W YNL102W
YDR510W YLR350W
YDR510W YNL189W
YDR510W YBR088C
YDR510W YBR223C
YDR510W YBR249C
YDR510W YDL055C
YDR510W YDL064W
YDR510W YDL084W
YDR510W YDL208W
YDR510W YDR174W
YDR510W YDR446W
YDR510W YDL013W
YDR510W YGL250W
YDR510W YDR330W
YDR510W YER047C
YDR510W YOR032C
YDR510W YFL045C
YDR510W YGL026C
YDR510W YHR134W
YDR510W YHR193C
YDR510W YJR076C
YDR510W YKL032C
YDR510W YKL043W
YDR510W YKL211C
YDR510W YLR328W
YDR510W YLR335W
YDR510W YML023C
YDR510W YMR219W
YDR510W YMR233W
YDR510W YNL042W
YDR510W YNL078W
YDR510W YNL088W
YDR510W YOR144C
YDR510W YPL129W
YLR098C YPR049C
YLR098C YDL076C
YLR098C YER015W
YLR098C YJL090C
YOL082W YCL033C
YOL082W YJL104W
YOL082W YNL316C
YER047C YDL166C
YER047C YGR086C
YER047C YKL032C
YGL037C YNL189W
YHR129C YDR488C
YHR129C YMR294W
YHR068W YEL034W
YHR068W YJR047C
YML035C YBR284W
YML035C YJL070C
YFL059W YFL060C
YFL059W YMR096W
YFL059W YNL334C
YOR174W YBR150C
YOR174W YEL051W
YOR174W YLR385C
YOR174W YNL086W
YOR304C-A YNL041C
YKL171W YML051W
YKL171W YGR203W
YKL171W YFL047W
YNL094W YBR260C
YNL094W YDR388W
YNL094W YFR024C-A
YNL094W YOR043W
YNL094W YAL049C
YNL041C YFL038C
YNL041C YLR262C
YNL041C YML071C
YNL041C YNR011C
YDL005C YML051W
YGL122C YDL084W
YGL122C YLR206W
YGL122C YLR177W
YGL122C YOL123W
YGR233C YPR049C
YGR233C YGR130C
YGR233C YPL031C
YGR233C YML014W
YMR294W YPL174C
YLL036C YPR152C
YLL036C YDL209C
YLL036C YDR364C
YNL286W YGL124C
YNL286W YMR288W
YJL110C YGR099W
YGL090W YNL113W
YGL090W YDR388W
YGL090W YOR005C
YLR385C YGL244W
YGR211W YGL071W
YGR211W YBR122C
YIL007C YHR185C
YGR241C YBL047C
YGR241C YGL181W
YGR241C YIL095W
YDR489W YBR107C
YDR388W YGL181W
YDR388W YCR009C
YDR388W YGL060W
YDR388W YOR181W
YHR161C YGL181W
YHR161C YIL095W
YHR161C YIL122W
YIL122W YGL181W
YIL122W YJL030W
YIL122W YDL189W
YIL122W YPL031C
YMR021C YDR361C
YMR021C YJR039W
YCR073C YLR006C
YDR361C YPL125W
YDR361C YPL208W
YDR361C YJR056C
YDR361C YGL068W
YOR032C YKR048C
YOR032C YEL053C
YKL015W YML051W
YKL015W YGR057C
YDR100W YAR027W
YDR100W YDR479C
YDR100W YBL069W
YDR100W YDL120W
YDR100W YDL164C
YDR100W YPL094C
YDR100W YML029W
YDR100W YER101C
YDR100W YGR177C
YDR100W YGR223C
YDR100W YHR105W
YDR100W YJL104W
YDR100W YLR108C
YDR100W YLR393W
YDR100W YML110C
YDR100W YMR024W
YDR100W YMR079W
YDR100W YNL204C
YDR100W YNL315C
YDR100W YOR109W
YDR100W YPL020C
YDR100W YPL095C
YDR100W YPL100W
YDR100W YPL218W
YDR100W YPR174C
YDR229W YBR087W
YDR229W YJR068W
YDR229W YMR047C
YLR181C YDR486C
YLR181C YER128W
YAL034W-A YJR112W
YBR150C YOL089C
YEL051W YDR423C
YNL086W YKL061W
YAL044W-A YNL249C
YAL044W-A YDR098C
YAL044W-A YNL218W
YAL044W-A YER174C
YNL249C YPL125W
YER174C YGR262C
YPL125W YOR185C
YPL125W YLR293C
YPL125W YKR059W
YPL125W YJL138C
YPL125W YPR160W
YOR185C YOR160W
YOR185C YGL238W
YLR293C YOR160W
YLR293C YDR335W
YLR293C YGL238W
YKR068C YLR328W
YKR068C YBR254C
YKR068C YOR115C
YKR068C YDR472W
YNL311C YKL001C
YBR234C YDL029W
YOR159C YPR182W
YOL116W YJL030W
YOL116W YGR067C
YAL054C YDR216W
YAL055W YGR133W
YKL154W YDR292C
YOL018C YIR038C
YOL018C YGL095C
YOL111C YLR206W
YOL111C YOR007C
YOL126C YIR038C
YOL126C YIR033W
YOL126C YOR347C
YDR036C YKL142W
YDR036C YLR397C
YDR142C YDL022W
YDR142C YGR239C
YDR142C YHR160C
YDR142C YIL160C
YDR373W YNL267W
YER056C-A YDR244W
YMR267W YGR239C
YIR038C YEL042W
YIR038C YER087C-B
YIR038C YGL104C
YIR038C YGL225W
YIR038C YJL097W
YIR038C YJL117W
YIR038C YML055W
YIR038C YNL219C
YIR038C YNL263C
YIR038C YPR113W
YIR038C YPR159C-A
YIR038C YBL020W
YIR038C YBL091C-A
YIR038C YBR029C
YIR038C YBR205W
YIR038C YBR241C
YIR038C YBR243C
YIR038C YCR068W
YIR038C YDL015C
YIR038C YDR284C
YIR038C YDR476C
YIR038C YGL054C
YIR038C YGR038W
YIR038C YGR121C
YIR038C YHR026W
YIR038C YHR096C
YIR038C YHR123W
YIR038C YHR140W
YIR038C YHR211W
YIR038C YIL039W
YIR038C YIL124W
YIR038C YJL183W
YIR038C YJR010C-A
YIR038C YJR073C
YIR038C YJR075W
YIR038C YJR118C
YIR038C YKL008C
YIR038C YLL014W
YIR038C YLR268W
YIR038C YML038C
YIR038C YML125C
YIR038C YNL111C
YIR038C YNL217W
YIR038C YNR030W
YIR038C YOL003C
YIR038C YOR321W
YIR038C YPL053C
YGL095C YDR323C
YLR206W YIL095W
YLR206W YGR268C
YLR206W YML051W
YIR033W YER087C-B
YIR033W YGL225W
YIR033W YJL117W
YIR033W YML055W
YIR033W YNL219C
YIR033W YNL263C
YIR033W YPR159C-A
YIR033W YBR241C
YIR033W YLR268W
YIR033W YBR029C
YIR033W YCR068W
YIR033W YNL111C
YIR033W YNR030W
YIR033W YPL053C
YIR033W YPR174C
YIR033W YDR434W
YAR027W YAR028W
YAR027W YBR042C
YAR027W YDR411C
YAR027W YEL042W
YAR027W YER087C-B
YAR027W YGL104C
YAR027W YGL225W
YAR027W YGR284C
YAR027W YJL097W
YAR027W YJL117W
