YDL229W YNR013C
YDL229W YNR048W
YDL229W YNR070W
YDL229W YOL047C
YDL229W YOL075C
YDL229W YOR037W
YDL229W YOR059C
YDL229W YOR086C
YDL229W YOR147W
YDL229W YOR153W
YDL229W YOR245C
YDL229W YOR246C
YDL229W YOR266W
YDL229W YOR311C
YDL229W YPL010W
YDL229W YPL017C
YDL229W YPL019C
YDL229W YPL058C
YDL229W YPL084W
YDL229W YPL132W
YDL229W YPL147W
YDL229W YPL201C
YDL229W YPL246C
YDL229W YPR010C
YDL229W YPR028W
YDL229W YPR095C
YDL229W YPR114W
YDL229W YPR128C
YDL229W YPR139C
YDL229W YPR156C
YDL229W YPR159W
YDL229W YPR183W
YDL229W YPR198W
YOR204W YDL145C
YOR204W YIL076W
YOR204W YBR042C
YOR204W YBR196C
YOR204W YBR287W
YOR204W YCR024C-A
YOR204W YCR034W
YOR204W YDR367W
YOR204W YDR508C
YOR204W YEL001C
YOR204W YEL041W
YOR204W YER072W
YOR204W YER087C-B
YOR204W YER093C
YOR204W YFL041W
YOR204W YFL048C
YOR204W YFR024C-A
YOR204W YGL022W
YOR204W YGL195W
YOR204W YGL212W
YOR204W YGL225W
YOR204W YGR284C
YOR204W YHL019C
YOR204W YHR063C
YOR204W YHR094C
YOR204W YHR117W
YOR204W YHR120W
YOR204W YIL154C
YOR204W YJL034W
YOR204W YJL073W
YOR204W YJL093C
YOR204W YJL178C
YOR204W YJL196C
YOR204W YJL212C
YOR204W YJR059W
YOR204W YJR118C
YOR204W YKL065C
YOR204W YKR105C
YOR204W YLL012W
YOR204W YLR004C
YOR204W YLR093C
YOR204W YLR139C
YOR204W YLR350W
YOR204W YLR393W
YOR204W YLR413W
YOR204W YML002W
YOR204W YML013W
YOR204W YML048W
YOR204W YMR129W
YOR204W YMR149W
YOR204W YMR202W
YOR204W YMR238W
YOR204W YMR264W
YOR204W YNL087W
YOR204W YNL125C
YOR204W YOR086C
YOR204W YPL019C
YOR204W YPL132W
YOR204W YPR010C
YOR204W YPR113W
YOR204W YPR183W
YGR192C YBR068C
YGR192C YCR043C
YGR192C YDR367W
YGR192C YDR508C
YGR192C YEL001C
YGR192C YEL036C
YGR192C YER053C
YGR192C YFL048C
YGR192C YGL027C
YGR192C YGR106C
YGR192C YGR284C
YGR192C YHR117W
YGR192C YJL034W
YGR192C YJL093C
YGR192C YJL178C
YGR192C YJL212C
YGR192C YKR105C
YGR192C YLL006W
YGR192C YLL012W
YGR192C YLR093C
YGR192C YLR350W
YGR192C YML002W
YGR192C YML038C
YGR192C YMR149W
YGR192C YOL075C
YGR192C YOR147W
YGR192C YOR254C
YGR192C YPL017C
YGR192C YPL201C
YGR192C YPR159W
YGR192C YGL054C
YGR192C YGR012W
YGR192C YGR167W
YGR192C YML013W
YGR192C YPL234C
YGR192C YPR128C
YGR192C YGL155W
YGR192C YER072W
YGR192C YGR062C
YGR192C YNR063W
YGR192C YPL210C
YOR069W YOR132W
YGL145W YHL031C
YGL145W YDR498C
YGL145W YGL098W
YHL031C YNL258C
YDR498C YNL258C
YDR498C YPL106C
YDR498C YLR440C
YDR498C YOR075W
YNL258C YLR440C
YPL106C YBR196C
YPL106C YDL223C
YPL106C YDR233C
YPL106C YDR284C
YPL106C YEL001C
YPL106C YER053C
YPL106C YFR016C
YPL106C YGL012W
YPL106C YGL227W
YPL106C YGR174C
YPL106C YGR284C
YPL106C YHR042W
YPL106C YHR120W
YPL106C YJL034W
YPL106C YJL178C
YPL106C YLR093C
YPL106C YLR382C
YPL106C YML002W
YPL106C YML038C
YPL106C YMR149W
YPL106C YPL201C
YPL106C YPL249C
YPL106C YPR156C
YPL106C YGL054C
YPL106C YGL155W
YAR002C-A YDR051C
YDR051C YAL007C
YFL042C YNL287W
YFL042C YFR051C
YFL042C YDL145C
YNL287W YLR422W
YNL287W YDL145C
YNL287W YIL076W
YFR051C YGL075C
YFR051C YDL145C
YFR051C YIL076W
YDL145C YIL076W
YDL145C YIL149C
YDL145C YGL137W
YDL145C YDR238C
YLR422W YGL137W
YIL076W YGL137W
YIL076W YDR238C
YIL076W YGR094W
YBR196C YGL076C
YBR196C YMR072W
YBR196C YNL178W
YBR287W YAL038W
YCR024C-A YJL130C
YCR024C-A YLR342W
YCR024C-A YGL008C
YCR034W YAL038W
YDR508C YAL038W
YDR508C YBR127C
YDR508C YNL178W
YDR508C YBR118W
YDR508C YDR447C
YDR508C YPL237W
YDR508C YJL034W
YDR508C YHR064C
YDR508C YHR203C
YEL001C YDR447C
YEL001C YHR020W
YEL041W YBR031W
YEL041W YDR447C
YEL041W YJR122W
YER072W YAL038W
YER072W YGL008C
YER072W YDL148C
YFR024C-A YMR208W
YGL195W YAL038W
YGL195W YNR048W
YGL212W YBR031W
YGL212W YDR447C
YGL212W YER165W
YGL225W YLR150W
YGR284C YAL038W
YGR284C YBR127C
YGR284C YBR118W
YGR284C YGL008C
YGR284C YMR186W
YGR284C YBR031W
YGR284C YDR447C
YGR284C YHR203C
YGR284C YDR385W
YHL019C YPR029C
YHL019C YKL135C
YHL019C YLR170C
YHR063C YAL038W
YHR063C YDR447C
YHR117W YAL038W
YHR117W YBR118W
YHR117W YER165W
YHR117W YMR229C
YHR117W YOR136W
YHR120W YAL038W
YHR120W YBR118W
